X,sp,pt,treatment,area,isolation,k,lnK
BSD1,BL,F,G,0.420607766,3.407899468,0.251132097,0.224048819
BSD1,BL,F,N,0.420607766,3.407899468,0.391427194,0.143460487
BSD1,CM,F,G,0.420607766,3.407899468,0.284827172,0.108844713
BSD1,CM,F,N,0.420607766,3.407899468,0.344781483,0.12865172
BSD1,FX,F,G,0.420607766,3.407899468,0.697020337,0.229687047
BSD1,FX,F,N,0.420607766,3.407899468,0.97735178,0.296083939
BSD1,MH,F,G,0.420607766,3.407899468,0.315197553,0.118990992
BSD1,MH,F,N,0.420607766,3.407899468,0.408440769,0.148738588
BSD1,QG,F,G,0.420607766,3.407899468,0.141748128,0.057570308
BSD1,QG,F,N,0.420607766,3.407899468,0.309499533,0.117105348
BSD1,XZ,F,G,0.420607766,3.407899468,0.346790121,0.129299922
BSD1,XZ,F,N,0.420607766,3.407899468,0.415761816,0.150990195
CB1,BL,F,G,2.496153703,3.339067569,0.329440095,0.284757872
CB1,BL,F,N,2.496153703,3.339067569,0.640640604,0.215013456
CB1,CM,F,G,2.496153703,3.339067569,0.332548591,0.124683054
CB1,CM,F,N,2.496153703,3.339067569,0.518848175,0.181514364
CB1,FX,F,G,2.496153703,3.339067569,0.896835964,0.278029775
CB1,FX,F,N,2.496153703,3.339067569,1.556240435,0.4076017
CB1,MH,F,G,2.496153703,3.339067569,0.351008099,0.130657953
CB1,MH,F,N,2.496153703,3.339067569,0.388617671,0.142582688
CB1,QG,F,G,2.496153703,3.339067569,0.151755999,0.061360483
CB1,QG,F,N,2.496153703,3.339067569,0.253653281,0.098177442
CB1,XZ,F,G,2.496153703,3.339067569,0.39909076,0.145845888
CB1,XZ,F,N,2.496153703,3.339067569,0.55081495,0.190559979
CB2,BL,G,G,2.496153703,3.339067569,0.244960323,0.095155511
CB2,BL,G,N,2.496153703,3.339067569,0.350036965,0.13034566
CB2,CM,G,G,2.496153703,3.339067569,0.299663916,0.113831061
CB2,CM,G,N,2.496153703,3.339067569,0.145637771,0.059047324
CB2,FX,G,G,2.496153703,3.339067569,0.708007662,0.232489815
CB2,FX,G,N,2.496153703,3.339067569,0.733206062,0.238850199
CB2,MH,G,G,2.496153703,3.339067569,0.282655227,0.108109935
CB2,MH,G,N,2.496153703,3.339067569,0.225855166,0.088439162
CB2,QG,G,G,2.496153703,3.339067569,0.223955708,0.087765702
CB2,QG,G,N,2.496153703,3.339067569,0.321219118,0.120974849
CB2,XZ,G,G,2.496153703,3.339067569,0.399339525,0.145923101
CB2,XZ,G,N,2.496153703,3.339067569,0.439420641,0.158187726
CT1,BL,F,G,2.611012007,3.651297344,0.203155499,0.184947688
CT1,BL,F,N,2.611012007,3.651297344,0.29207623,0.111288137
CT1,CM,F,G,2.611012007,3.651297344,0.226925893,0.088818332
CT1,CM,F,N,2.611012007,3.651297344,0.333469338,0.124983034
CT1,FX,F,G,2.611012007,3.651297344,0.384860047,0.141405886
CT1,FX,F,N,2.611012007,3.651297344,0.986097002,0.298000456
CT1,MH,F,G,2.611012007,3.651297344,0.268014935,0.103124369
CT1,MH,F,N,2.611012007,3.651297344,0.342166205,0.127806299
CT1,QG,F,G,2.611012007,3.651297344,0.169773745,0.06810187
CT1,QG,F,N,2.611012007,3.651297344,0.281929626,0.107864184
CT1,XZ,F,G,2.611012007,3.651297344,0.275319934,0.105619148
CT1,XZ,F,N,2.611012007,3.651297344,0.355049019,0.131955006
CT2,BL,G,G,2.611012007,3.651297344,0.285077585,0.108929348
CT2,BL,G,N,2.611012007,3.651297344,0.29935412,0.113727528
CT2,CM,G,G,2.611012007,3.651297344,0.135333006,0.055123264
CT2,CM,G,N,2.611012007,3.651297344,0.191575485,0.07612156
